,0,1,2,3,4,5,6,7,8,9,10
107,75,84,101,8601,1126,1134,1193,701,941,452,1000
108,80,88,19,6536,3256,1506,2650,4228,1944,1002,776
109,80,88,105,6536,3256,1506,2650,4228,1944,1002,776
110,90,83,39,2843,3295,1850,2369,1320,970,1336,433
111,90,83,57,2843,3295,1850,2369,1320,970,1336,433
112,90,93,85,1920,736,704,3892,1415,1696,544,952
113,90,93,74,1920,736,704,3892,1415,1696,544,952
114,88,84,71,1556,2546,924,608,1038,802,716,1230
115,88,84,64,1556,2546,924,608,1038,802,716,1230
116,88,83,39,1321,3800,364,1801,1894,1925,708,584
117,88,83,84,1321,3800,364,1801,1894,1925,708,584
118,88,87,71,3575,1012,3065,1944,1604,824,437,1836
119,88,87,56,3575,1012,3065,1944,1604,824,437,1836
120,80,74,99,372268,78198,7628,7331,4931,9137,6293,3331
121,80,74,230,372268,78198,7628,7331,4931,9137,6293,3331
122,78,70,43,181560,56226,4074,21125,23906,14035,4485,4809
123,78,70,66,181560,56226,4074,21125,23906,14035,4485,4809
124,67,75,66,6585,15644,4378,4114,2974,1829,663,785
125,67,75,36,6585,15644,4378,4114,2974,1829,663,785
126,70,66,36,3112,2286,1327,1173,2079,946,788,1322
127,70,66,66,3112,2286,1327,1173,2079,946,788,1322
128,69,67,88,394836,46491,2500,12866,15842,5074,2369,1826
129,69,67,75,394836,46491,2500,12866,15842,5074,2369,1826
130,75,78,40,1448,922,2419,1437,1026,1636,1124,1116
131,75,78,37,1448,922,2419,1437,1026,1636,1124,1116
132,81,81,54,3106,1006,232,2891,2610,953,521,640
133,81,81,40,3106,1006,232,2891,2610,953,521,640
134,83,84,101,3717,3276,1691,2180,1373,1914,1453,955
135,83,84,115,3717,3276,1691,2180,1373,1914,1453,955
136,90,93,21,5535,3283,5022,2611,4422,1973,977,1074
137,90,93,42,5535,3283,5022,2611,4422,1973,977,1074
138,74,87,106,61210,63503,19596,9895,5441,3652,3969,3511
139,74,87,64,61210,63503,19596,9895,5441,3652,3969,3511
140,66,75,41,413775,32697,5271,2013,16927,3658,5425,7312
141,66,75,161,413775,32697,5271,2013,16927,3658,5425,7312
142,48,78,112,2505078,95321,143428,18152,27069,4942,5490,5917
143,48,78,91,2505078,95321,143428,18152,27069,4942,5490,5917
144,41,77,139,111387,8719,2953,4273,2059,1200,1920,1185
145,41,77,106,111387,8719,2953,4273,2059,1200,1920,1185
146,35,66,101,88145,21572,1374,896,474,440,349,370
147,35,66,75,88145,21572,1374,896,474,440,349,370
148,41,80,112,1132,542,1413,686,1338,639,813,712
149,41,80,38,1132,542,1413,686,1338,639,813,712
150,61,69,112,7442,5968,2403,849,2515,2625,621,1432
151,60,60,112,288964,72973,8196,6791,9239,5279,4662,1931
152,60,60,73,288964,72973,8196,6791,9239,5279,4662,1931
153,81,66,-17,3203,5959,1569,1926,2743,3654,1016,765
154,81,66,105,3203,5959,1569,1926,2743,3654,1016,765
155,69,63,132,190211,33579,12511,16829,13262,2664,791,1266
156,69,63,-20,190211,33579,12511,16829,13262,2664,791,1266
157,57,61,45,993947,66450,4774,12143,10265,5140,6936,4778
158,57,61,90,993947,66450,4774,12143,10265,5140,6936,4778
159,64,75,58,4882,2198,4011,986,1337,1103,361,1183
160,64,75,33,4882,2198,4011,986,1337,1103,361,1183
161,61,75,117,2356,2021,1485,1763,6964,1126,1567,815
162,61,75,58,2356,2021,1485,1763,6964,1126,1567,815
163,80,74,71,3149,3129,715,2529,958,3335,1607,808
164,80,74,115,3149,3129,715,2529,958,3335,1607,808
165,94,77,86,1153,2754,944,1291,1156,2699,3146,1277
166,94,77,38,1153,2754,944,1291,1156,2699,3146,1277
167,94,70,51,3900,3227,924,2399,1416,975,751,2304
168,94,70,81,3900,3227,924,2399,1416,975,751,2304
169,100,75,97,1257,1709,2175,1333,3796,2112,2141,1906
170,100,75,114,1257,1709,2175,1333,3796,2112,2141,1906
171,93,81,26,44510,4221,5906,2246,1327,2064,1048,1365
172,93,81,101,44510,4221,5906,2246,1327,2064,1048,1365
173,80,83,52,13817,7997,1876,3500,2619,1258,1986,691
174,80,83,44,13817,7997,1876,3500,2619,1258,1986,691
175,77,84,102,36389,6759,1573,4105,959,1168,835,969
176,77,84,64,36389,6759,1573,4105,959,1168,835,969
177,64,87,72,15832,27691,14402,6585,3981,4293,1218,780
178,64,87,98,15832,27691,14402,6585,3981,4293,1218,780
179,63,75,90,2879,6182,366,1805,1643,1237,859,1255
180,63,75,64,2879,6182,366,1805,1643,1237,859,1255
181,64,77,55,4520,4149,2061,1324,1697,935,421,667
182,64,77,122,4520,4149,2061,1324,1697,935,421,667
183,66,74,125,13058,13959,6173,3622,3679,2600,1324,1513
184,66,74,120,13058,13959,6173,3622,3679,2600,1324,1513
185,74,75,-40,78824,5170,4946,1607,2318,2483,948,1287
186,74,75,-42,78824,5170,4946,1607,2318,2483,948,1287
187,69,81,8,171594,51255,23153,29391,18496,8805,9153,2754
188,69,81,128,171594,51255,23153,29391,18496,8805,9153,2754
189,64,77,74,184394,24092,5149,1546,3330,1963,927,260
190,64,77,88,184394,24092,5149,1546,3330,1963,927,260
191,69,81,19,3197,1675,2700,2047,1462,1330,687,2714
192,69,81,76,3197,1675,2700,2047,1462,1330,687,2714
193,60,81,116,13332,14536,3677,6874,1146,1648,618,1197
194,60,81,42,13332,14536,3677,6874,1146,1648,618,1197
195,67,78,73,3212,1705,1157,763,1437,1022,970,631
196,67,78,71,3212,1705,1157,763,1437,1022,970,631
197,67,81,37,3519,7059,3360,1423,3570,743,860,774
198,67,81,76,3519,7059,3360,1423,3570,743,860,774
199,67,78,73,3973,5039,3368,2997,2282,2739,838,886
200,67,78,64,3973,5039,3368,2997,2282,2739,838,886
201,74,74,100,2309,12969,3012,3194,1641,2221,1568,535
202,74,74,52,2309,12969,3012,3194,1641,2221,1568,535
203,69,70,76,3709,4346,1858,1026,2544,1312,534,746
204,69,69,66,14788,14611,3489,3012,1066,1504,650,1015
205,69,69,73,14788,14611,3489,3012,1066,1504,650,1015
206,66,75,61,3799,4401,6713,1974,681,1663,632,202
207,66,75,69,3799,4401,6713,1974,681,1663,632,202
208,61,81,-122,5053,15921,10149,6961,3240,1962,642,1159
209,61,81,81,5053,15921,10149,6961,3240,1962,642,1159
210,51,80,66,678292,77718,16103,10361,5622,4131,3616,1850
211,51,80,83,678292,77718,16103,10361,5622,4131,3616,1850
212,57,83,100,21654,3950,1737,2149,1616,1590,1184,1428
213,57,83,-58,21654,3950,1737,2149,1616,1590,1184,1428
214,56,77,-2,66958,7239,4267,1877,2852,1352,547,549
215,56,77,112,66958,7239,4267,1877,2852,1352,547,549
216,57,57,96,107292,43281,1021,2219,725,3431,1014,513
217,57,57,-285,107292,43281,1021,2219,725,3431,1014,513
218,53,57,102,1614306,375368,127337,16472,18090,11053,4413,5793
219,53,57,779,1614306,375368,127337,16472,18090,11053,4413,5793
220,50,60,161,471513,35043,24618,12480,10462,9955,2039,5030
221,50,60,66,471513,35043,24618,12480,10462,9955,2039,5030
222,40,60,179,513714,67416,10912,38114,14993,2580,7308,6170
223,40,60,-116,513714,67416,10912,38114,14993,2580,7308,6170
224,44,75,123,157567,25898,10591,8186,8160,6174,5426,2824
